"filename", "language", "YAML", "PowerShell", "Markdown", "JSON", "Python", "HTML", "Ini", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\watch\harite-watch-spec.md", "Markdown", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 54, 188
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\watch\harite-watch-xfce-stability-incident-20260518.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 23, 82
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\legacy-ui\Glade.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\legacy-ui\README.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 10, 28
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\agent-rules.md", "Markdown", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 32, 100
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\do-it.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 40
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\initial-task.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\owner-questions.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 31, 83
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\working-tree-review.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\xfce-heuristics-notes.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 24, 63
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-followup-log.md", "Markdown", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 25, 105
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-rollback-playbook.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 35, 120
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-testing.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 39, 125
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\pr_bodies\PR_37_body.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 14, 34
"c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-operations-policy.md", "Markdown", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 33, 110
"c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy-enumerator-applied.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy-replacements.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy.md", "Markdown", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 36, 90
"c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branching-charter.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 9, 21
"c:\Users\oggy_\Develop\Repos\Harite\docs\ci-strategy.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 18, 56
"c:\Users\oggy_\Develop\Repos\Harite\docs\ci-workflows.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 37, 93
"c:\Users\oggy_\Develop\Repos\Harite\docs\dev\dev-environment.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 28, 84
"c:\Users\oggy_\Develop\Repos\Harite\docs\dev\development-checklist.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 34, 107
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\draft-to-branch.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 21, 66
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\dual-local-sync-check.md", "Markdown", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 31, 86
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\fix-branch-name-pr.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 31, 87
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\fix-mistyped-push-ref.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 30, 81
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\operations-recovery-backlog.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 25, 124
"c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\recover-main-miscommit.md", "Markdown", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 55, 149
